HostTaxID,Host,HostGenus,HostFamily,HostOrder,HostClass,HostNCBIResolved
9207,,phalacrocorax,phalacrocoracidae,suliformes,aves,TRUE
9220,,,picidae,piciformes,aves,TRUE
9237,,pygoscelis,spheniscidae,sphenisciformes,aves,TRUE
9709,,,phocidae,carnivora,mammalia,TRUE
9976,,,ochotonidae,lagomorpha,mammalia,TRUE
30910,,,channidae,anabantiformes,actinopteri,TRUE
30948,,,soleidae,pleuronectiformes,actinopteri,TRUE
504568,,,salmonidae,salmoniformes,actinopteri,TRUE
8008,,,esocidae,esociformes,actinopteri,TRUE
8015,,,salmonidae,salmoniformes,actinopteri,TRUE
8033,,salvelinus,salmonidae,salmoniformes,actinopteri,TRUE
10128,,apodemus,muridae,rodentia,mammalia,TRUE
52807,,menetes,sciuridae,rodentia,mammalia,TRUE
188374,,ardeola,ardeidae,pelecaniformes,aves,TRUE
8825,,,,,aves,TRUE
,,,,,,
,,,,,,FALSE
53274,,rhizomys,spalacidae,rodentia,mammalia,TRUE
142475,,poecile,paridae,passeriformes,aves,TRUE
28700,,fratercula,alcidae,charadriiformes,aves,TRUE
9554,,papio,cercopithecidae,primates,mammalia,TRUE
392898,,balistapus,balistidae,tetraodontiformes,actinopteri,TRUE
461397,,coleura,emballonuridae,chiroptera,mammalia,TRUE
9416,,artibeus,phyllostomidae,chiroptera,mammalia,TRUE
909366,,glauconycteris,vespertilionidae,chiroptera,mammalia,TRUE
157240,,arnoglossus,bothidae,pleuronectiformes,actinopteri,TRUE
390361,,pentapodus,nemipteridae,spariformes,actinopteri,TRUE
241304,,hologymnosus,labridae,labriformes,actinopteri,TRUE
9822,,sus,suidae,artiodactyla,mammalia,TRUE
10026,,,cricetidae,rodentia,mammalia,TRUE
9944,,tragelaphus,bovidae,artiodactyla,mammalia,TRUE
8511,,,,squamata,lepidosauria,TRUE
9832,,hippopotamus,hippopotamidae,artiodactyla,mammalia,TRUE
9362,,,,eulipotyphla,mammalia,TRUE
30871,,,serranidae,perciformes,actinopteri,TRUE
9527,,,cercopithecidae,primates,mammalia,TRUE
9520,,saimiri,cebidae,primates,mammalia,TRUE
879711,,blenniella,blenniidae,blenniiformes,actinopteri,TRUE
9845,,,,artiodactyla,mammalia,TRUE
9903,,bos,bovidae,artiodactyla,mammalia,TRUE
85610,,terrapene,emydidae,testudines,,TRUE
48881,,geospiza,thraupidae,passeriformes,aves,TRUE
7995,,,,siluriformes,actinopteri,TRUE
9513,,cebus,cebidae,primates,mammalia,TRUE
9738,,tursiops,delphinidae,artiodactyla,mammalia,TRUE
29122,,oryzomys,cricetidae,rodentia,mammalia,TRUE
8126,,tilapia,cichlidae,cichliformes,actinopteri,TRUE
8139,,oreochromis,cichlidae,cichliformes,actinopteri,TRUE
12945,,aratinga,psittacidae,psittaciformes,aves,TRUE
58055,,,rhinolophidae,chiroptera,mammalia,TRUE
867874,,phoniscus,vespertilionidae,chiroptera,mammalia,TRUE
29132,,,castoridae,rodentia,mammalia,TRUE
45478,,cynomys,sciuridae,rodentia,mammalia,TRUE
8573,,boa,boidae,squamata,lepidosauria,TRUE
9697,,,herpestidae,carnivora,mammalia,TRUE
9799,,,tapiridae,perissodactyla,mammalia,TRUE
51790,,cyprichromis,cichlidae,cichliformes,actinopteri,TRUE
188718,,hyphessobrycon,acestrorhamphidae,characiformes,actinopteri,TRUE
7777,,,,,chondrichthyes,TRUE
9282,,antechinus,dasyuridae,dasyuromorphia,mammalia,TRUE
1147080,,dinematichthys,bythitidae,ophidiiformes,actinopteri,TRUE
9721,,,,artiodactyla,mammalia,TRUE
28726,,cyanocitta,corvidae,passeriformes,aves,TRUE
335482,,eudocimus,threskiornithidae,pelecaniformes,aves,TRUE
44387,,zonotrichia,passerellidae,passeriformes,aves,TRUE
47244,,zenaida,columbidae,columbiformes,aves,TRUE
55417,,,mimidae,passeriformes,aves,TRUE
64277,,quiscalus,icteridae,passeriformes,aves,TRUE
84832,,molothrus,icteridae,passeriformes,aves,TRUE
9053,,phasianus,phasianidae,galliformes,aves,TRUE
9479,,,,primates,mammalia,TRUE
392815,,chlorocebus,cercopithecidae,primates,mammalia,TRUE
9859,,cervus,cervidae,artiodactyla,mammalia,TRUE
150295,,exyrias,gobiidae,gobiiformes,actinopteri,TRUE
9681,,,felidae,carnivora,mammalia,TRUE
110215,,atheris,viperidae,squamata,lepidosauria,TRUE
42188,,daboia,viperidae,squamata,lepidosauria,TRUE
8497,,caiman,alligatoridae,crocodylia,,TRUE
59516,,alcelaphus,bovidae,artiodactyla,mammalia,TRUE
9896,,aepyceros,bovidae,artiodactyla,mammalia,TRUE
9918,,bubalus,bovidae,artiodactyla,mammalia,TRUE
9926,,connochaetes,bovidae,artiodactyla,mammalia,TRUE
9933,,gazella,bovidae,artiodactyla,mammalia,TRUE
9957,,oryx,bovidae,artiodactyla,mammalia,TRUE
29083,,arctocephalus,otariidae,carnivora,mammalia,TRUE
176023,,eclectus,psittacidae,psittaciformes,aves,TRUE
9225,,ara,psittacidae,psittaciformes,aves,TRUE
210603,,cynodon,characidae,characiformes,actinopteri,TRUE
9965,,capricornis,bovidae,artiodactyla,mammalia,TRUE
9159,,passer,passeridae,passeriformes,aves,TRUE
9364,,erinaceus,erinaceidae,eulipotyphla,mammalia,TRUE
9570,,colobus,cercopithecidae,primates,mammalia,TRUE
59514,,addax,bovidae,artiodactyla,mammalia,TRUE
270557,,hoplichthys,hoplichthyidae,perciformes,actinopteri,TRUE
30989,,,siluridae,siluriformes,actinopteri,TRUE
58219,,decapterus,carangidae,carangiformes,actinopteri,TRUE
8163,,lateolabrax,lateolabracidae,acropomatiformes,actinopteri,TRUE
8169,,,sparidae,spariformes,actinopteri,TRUE
94231,,epinephelus,serranidae,perciformes,actinopteri,TRUE
96885,,sardinella,clupeidae,clupeiformes,actinopteri,TRUE
96902,,trichogaster,osphronemidae,anabantiformes,actinopteri,TRUE
9922,,capra,bovidae,artiodactyla,mammalia,TRUE
9963,,,bovidae,artiodactyla,mammalia,TRUE
183601,,regina,colubridae,squamata,lepidosauria,TRUE
337744,,rita,bagridae,siluriformes,actinopteri,TRUE
9481,,callithrix,cebidae,primates,mammalia,TRUE
8252,,,,pleuronectiformes,actinopteri,TRUE
9401,,pteropus,pteropodidae,chiroptera,mammalia,TRUE
169417,,,mustelidae,carnivora,mammalia,TRUE
27621,,molossus,molossidae,chiroptera,mammalia,TRUE
27625,,nyctinomops,molossidae,chiroptera,mammalia,TRUE
303306,,cynomops,molossidae,chiroptera,mammalia,TRUE
30541,,conepatus,mephitidae,carnivora,mammalia,TRUE
30546,,mephitis,mephitidae,carnivora,mammalia,TRUE
30550,,spilogale,mephitidae,carnivora,mammalia,TRUE
33554,,,,carnivora,mammalia,TRUE
337730,,,sciuridae,rodentia,mammalia,TRUE
34879,,nyctereutes,canidae,carnivora,mammalia,TRUE
40234,,,phyllostomidae,chiroptera,mammalia,TRUE
55153,,,sciuridae,rodentia,mammalia,TRUE
94189,,genetta,viverridae,carnivora,mammalia,TRUE
9619,,dusicyon,canidae,carnivora,mammalia,TRUE
9653,,procyon,procyonidae,carnivora,mammalia,TRUE
9658,,martes,mustelidae,carnivora,mammalia,TRUE
9676,,,hyaenidae,carnivora,mammalia,TRUE
9935,,ovis,bovidae,artiodactyla,mammalia,TRUE
9952,,,bovidae,artiodactyla,mammalia,TRUE
10035,,mesocricetus,cricetidae,rodentia,mammalia,TRUE
100944,,hylopetes,sciuridae,rodentia,mammalia,TRUE
9379,,sorex,soricidae,eulipotyphla,mammalia,TRUE
9394,,tupaia,tupaiidae,scandentia,mammalia,TRUE
9398,,,pteropodidae,chiroptera,mammalia,TRUE
9263,,,,,mammalia,TRUE
36795,,melomys,muridae,rodentia,mammalia,TRUE
40156,,lonchura,estrildidae,passeriformes,aves,TRUE
9973,,manis,manidae,pholidota,mammalia,TRUE
226679,,funisciurus,sciuridae,rodentia,mammalia,TRUE
71116,,paradoxurus,viverridae,carnivora,mammalia,TRUE
9717,,phoca,phocidae,carnivora,mammalia,TRUE
34874,,saiga,bovidae,artiodactyla,mammalia,TRUE
9867,,dama,cervidae,artiodactyla,mammalia,TRUE
9740,,,phocoenidae,artiodactyla,mammalia,TRUE
9650,,nasua,procyonidae,carnivora,mammalia,TRUE
32506,,neolamprologus,cichlidae,cichliformes,actinopteri,TRUE
196074,,sprattus,clupeidae,clupeiformes,actinopteri,TRUE
27772,,coregonus,salmonidae,salmoniformes,actinopteri,TRUE
28828,,solea,soleidae,pleuronectiformes,actinopteri,TRUE
54316,,percina,percidae,perciformes,actinopteri,TRUE
55118,,,clupeidae,clupeiformes,actinopteri,TRUE
7933,,,,anguilliformes,actinopteri,TRUE
7934,,,anguillidae,anguilliformes,actinopteri,TRUE
7935,,anguilla,anguillidae,anguilliformes,actinopteri,TRUE
8045,,,gadidae,gadiformes,actinopteri,TRUE
8048,,gadus,gadidae,gadiformes,actinopteri,TRUE
81641,,,lotidae,gadiformes,actinopteri,TRUE
245037,,acridotheres,sturnidae,passeriformes,aves,TRUE
34923,,pica,corvidae,passeriformes,aves,TRUE
35541,,platycercus,psittacidae,psittaciformes,aves,TRUE
35610,,,psittaculidae,psittaciformes,aves,TRUE
56271,,otus,strigidae,strigiformes,aves,TRUE
56290,,,coraciidae,coraciiformes,aves,TRUE
57390,,,upupidae,bucerotiformes,aves,TRUE
84844,,psarocolius,icteridae,passeriformes,aves,TRUE
8956,,accipiter,accipitridae,accipitriformes,aves,TRUE
9212,,anhinga,anhingidae,suliformes,aves,TRUE
309865,,pionites,psittacidae,psittaciformes,aves,TRUE
12981,,cacatua,cacatuidae,psittaciformes,aves,TRUE
42712,,caluromys,didelphidae,didelphimorphia,mammalia,TRUE
8493,,,crocodylidae,crocodylia,,TRUE
1532884,,sapajus,cebidae,primates,mammalia,TRUE
9498,,,cebidae,primates,mammalia,TRUE
9522,,callicebus,pitheciidae,primates,mammalia,TRUE
8937,,,alcedinidae,coraciiformes,aves,TRUE
9265,,,didelphidae,didelphimorphia,mammalia,TRUE
111980,,dumetella,mimidae,passeriformes,aves,TRUE
39616,,aphelocoma,corvidae,passeriformes,aves,TRUE
400782,,,parulidae,passeriformes,aves,TRUE
425655,,sternula,laridae,charadriiformes,aves,TRUE
43148,,,hirundinidae,passeriformes,aves,TRUE
56326,,cardinalis,cardinalidae,passeriformes,aves,TRUE
58200,,mimus,mimidae,passeriformes,aves,TRUE
8926,,,ciconiidae,ciconiiformes,aves,TRUE
75880,,tachyeres,anatidae,anseriformes,aves,TRUE
337677,,,cricetidae,rodentia,mammalia,TRUE
89456,,stenocephalemys,muridae,rodentia,mammalia,TRUE
29124,,oxymycterus,cricetidae,rodentia,mammalia,TRUE
50592,,pagellus,sparidae,spariformes,actinopteri,TRUE
37348,,mammuthus,elephantidae,proboscidea,mammalia,TRUE
50352,,chalinolobus,vespertilionidae,chiroptera,mammalia,TRUE
30424,,emberiza,fringillidae,passeriformes,aves,TRUE
9186,,turdus,turdidae,passeriformes,aves,TRUE
8165,,,percidae,perciformes,actinopteri,TRUE
77230,,epomops,pteropodidae,chiroptera,mammalia,TRUE
662560,,rusa,cervidae,artiodactyla,mammalia,TRUE
45806,,motacilla,motacillidae,passeriformes,aves,TRUE
595629,,pleurosicya,gobiidae,gobiiformes,actinopteri,TRUE
30648,,,dipodidae,rodentia,mammalia,TRUE
61393,,caracal,felidae,carnivora,mammalia,TRUE
30869,,,scatophagidae,,actinopteri,TRUE
171415,,pseudorhombus,paralichthyidae,pleuronectiformes,actinopteri,TRUE
44521,,pelomedusa,pelomedusidae,testudines,,TRUE
103819,,mycteroperca,serranidae,perciformes,actinopteri,TRUE
274794,,,serranidae,perciformes,actinopteri,TRUE
37579,,python,pythonidae,squamata,lepidosauria,TRUE
40248,,,chamaeleonidae,squamata,lepidosauria,TRUE
44233,,reithrodontomys,cricetidae,rodentia,mammalia,TRUE
9486,,saguinus,cebidae,primates,mammalia,TRUE
8459,,,,testudines,,TRUE
9307,,,macropodidae,diprotodontia,mammalia,TRUE
7953,,,cyprinidae,cypriniformes,actinopteri,TRUE
443805,,pseudophycis,moridae,gadiformes,actinopteri,TRUE
2828480,,gypsophila,pellorneidae,passeriformes,aves,TRUE
55533,,apalone,trionychidae,testudines,,TRUE
13745,,uria,alcidae,charadriiformes,aves,TRUE
447134,,myodes,cricetidae,rodentia,mammalia,TRUE
195630,,plagiopsetta,samaridae,pleuronectiformes,actinopteri,TRUE
27764,,xenotilapia,cichlidae,cichliformes,actinopteri,TRUE
117849,,platyrhina,platyrhinidae,,chondrichthyes,TRUE
58057,Acerodon celebensis,Acerodon,Pteropodidae,Chiroptera,Mammalia,TRUE
29096,Akodon cursor,Akodon,Cricetidae,Rodentia,Mammalia,TRUE
54135,Allenopithecus nigroviridis,Allenopithecus,Cercopithecidae,Primates,Mammalia,TRUE
147649,Allochrocebus preussi,Allochrocebus,Cercopithecidae,Primates,Mammalia,TRUE
121123,Alouatta sara,Alouatta,Atelidae,Primates,Mammalia,TRUE
8839,Anas platyrhynchos,Anas,Anatidae,Anseriformes,Aves,TRUE
27642,Anoura caudifer,Anoura,Phyllostomidae,Chiroptera,Mammalia,TRUE
8843,Anser anser,Anser,Anatidae,Anseriformes,Aves,TRUE
8845,Anser cygnoides,Anser,Anatidae,Anseriformes,Aves,TRUE
214933,Apodemus latronum,Apodemus,Muridae,Rodentia,Mammalia,TRUE
10129,Apodemus sylvaticus,Apodemus,Muridae,Rodentia,Mammalia,TRUE
9417,Artibeus jamaicensis,Artibeus,Phyllostomidae,Chiroptera,Mammalia,TRUE
27634,Artibeus lituratus,Artibeus,Phyllostomidae,Chiroptera,Mammalia,TRUE
40228,Artibeus obscurus,Artibeus,Phyllostomidae,Chiroptera,Mammalia,TRUE
40230,Artibeus planirostris,Artibeus,Phyllostomidae,Chiroptera,Mammalia,TRUE
61156,Arvicanthis niloticus,Arvicanthis,Muridae,Rodentia,Mammalia,TRUE
188568,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,Chiroptera,Mammalia,TRUE
77229,Balionycteris maculata,Balionycteris,Pteropodidae,Chiroptera,Mammalia,TRUE
69079,Bandicota bengalensis,Bandicota,Muridae,Rodentia,Mammalia,TRUE
456472,Bandicota indica,Bandicota,Muridae,Rodentia,Mammalia,TRUE
249033,Bauerus dubiaquercus,Bauerus,Vespertilionidae,Chiroptera,Mammalia,TRUE
83759,Berylmys bowersi,Berylmys,Muridae,Rodentia,Mammalia,TRUE
9915,Bos indicus,Bos,Bovidae,Artiodactyla,Mammalia,TRUE
9913,Bos taurus,Bos,Bovidae,Artiodactyla,Mammalia,TRUE
1330375,Bunomys penitus,Bunomys,Muridae,Rodentia,Mammalia,TRUE
8855,Cairina moschata,Cairina,Anatidae,Anseriformes,Aves,TRUE
127500,Callosciurus finlaysonii,Callosciurus,Sciuridae,Rodentia,Mammalia,TRUE
64678,Callosciurus notatus,Callosciurus,Sciuridae,Rodentia,Mammalia,TRUE
9612,Canis lupus,Canis,Canidae,Carnivora,Mammalia,TRUE
40233,Carollia perspicillata,Carollia,Phyllostomidae,Chiroptera,Mammalia,TRUE
208969,Carollia sowelli,Carollia,Phyllostomidae,Chiroptera,Mammalia,TRUE
9477,Cephalopachus bancanus,Cephalopachus,Tarsiidae,Primates,Mammalia,TRUE
129223,Cephalophorus callipygus,Cephalophorus,Bovidae,Artiodactyla,Mammalia,TRUE
255237,Cercocebus agilis,Cercocebus,Cercopithecidae,Primates,Mammalia,TRUE
75569,Cercocebus chrysogaster,Cercocebus,Cercopithecidae,Primates,Mammalia,TRUE
36223,Cercopithecus ascanius,Cercopithecus,Cercopithecidae,Primates,Mammalia,TRUE
9535,Cercopithecus cephus,Cercopithecus,Cercopithecidae,Primates,Mammalia,TRUE
1137481,Cercopithecus kandti,Cercopithecus,Cercopithecidae,Primates,Mammalia,TRUE
36225,Cercopithecus mitis,Cercopithecus,Cercopithecidae,Primates,Mammalia,TRUE
36226,Cercopithecus mona,Cercopithecus,Cercopithecidae,Primates,Mammalia,TRUE
36227,Cercopithecus neglectus,Cercopithecus,Cercopithecidae,Primates,Mammalia,TRUE
36228,Cercopithecus nictitans,Cercopithecus,Cercopithecidae,Primates,Mammalia,TRUE
102108,Cercopithecus pogonias,Cercopithecus,Cercopithecidae,Primates,Mammalia,TRUE
263448,Cercopithecus wolfi,Cercopithecus,Cercopithecidae,Primates,Mammalia,TRUE
9534,Chlorocebus aethiops,Chlorocebus,Cercopithecidae,Primates,Mammalia,TRUE
60710,Chlorocebus pygerythrus,Chlorocebus,Cercopithecidae,Primates,Mammalia,TRUE
60712,Chlorocebus tantalus,Chlorocebus,Cercopithecidae,Primates,Mammalia,TRUE
907075,Coleura afra,Coleura,Emballonuridae,Chiroptera,Mammalia,TRUE
54131,Colobus angolensis,Colobus,Cercopithecidae,Primates,Mammalia,TRUE
33548,Colobus guereza,Colobus,Cercopithecidae,Primates,Mammalia,TRUE
8932,Columba livia,Columba,Columbidae,Columbiformes,Aves,TRUE
36249,Corvus macrorhynchos,Corvus,Corvidae,Passeriformes,Aves,TRUE
701737,Corvus splendens,Corvus,Corvidae,Passeriformes,Aves,TRUE
9091,Coturnix coturnix,Coturnix,Phasianidae,Galliformes,Aves,TRUE
167044,Crocidura attenuata,Crocidura,Soricidae,Eulipotyphla,Mammalia,TRUE
148970,Crocidura goliath,Crocidura,Soricidae,Eulipotyphla,Mammalia,TRUE
516697,Crocidura montis,Crocidura,Soricidae,Eulipotyphla,Mammalia,TRUE
214449,Crocidura olivieri,Crocidura,Soricidae,Eulipotyphla,Mammalia,TRUE
