Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass
"",,,,
Aalivirus A,Aalivirus,Picornaviridae,Picornavirales,Pisoniviricetes
Abatino macacapox virus,Orthopoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Academ virus,Orthohantavirus,Hantaviridae,Bunyavirales,Ellioviricetes
Acara orthobunyavirus,Orthobunyavirus,Peribunyaviridae,Bunyavirales,Ellioviricetes
Acerodon celebensis polyomavirus 1,Alphapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Acerodon celebensis polyomavirus 2,Betapolyomavirus,Polyomaviridae,Sepolyvirales,Papovaviricetes
Achimota pararubulavirus 1,Pararubulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Achimota pararubulavirus 2,Pararubulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Achimota pararubulavirus 3,Pararubulavirus,Paramyxoviridae,Mononegavirales,Monjiviricetes
Acinonyx jubatus papillomavirus type 1,,Papillomaviridae,Zurhausenvirales,Papovaviricetes
"Acomys herpesvirus SVMS 226,222",,Herpesviridae,Herpesvirales,Herviviricetes
Adelaide River ephemerovirus,Ephemerovirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Adeno-associated dependoparvovirus A,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-associated dependoparvovirus B,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-associated virus,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-associated virus - Po1,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-associated virus - Po2,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-associated virus - Po3,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus Clade A,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus Clade C,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus Clade D,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-associated virus Croatia cul1_12,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Adeno-Associated Virus PREDICT_AaV-10,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
