Pathogen_Intermediate,Pathogen,taxid,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass
Bacillus circulans,Bacillus circulans,1397,Bacillus,Bacillaceae,Bacillales,Bacilli
Spring viraemia of carp virus,Carp sprivivirus,696863,Sprivivirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Enterococcus faecalis,Enterococcus faecalis,1351,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Lactococcus garvieae,Lactococcus garvieae,1363,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli
Pediococcus pentosaceus,Pediococcus pentosaceus,1255,Pediococcus,Lactobacillaceae,Lactobacillales,Bacilli
Amphilina foliacea,Amphilina foliacea,507538,Amphilina,Amphilinidae,Amphilinidea,Cestoda
Acinetobacter junii,Acinetobacter junii,40215,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Aeromonas hydrophila,Aeromonas hydrophila,644,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Yersinia ruckeri,Yersinia ruckeri,29486,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
Aeromonas veronii,Aeromonas veronii,654,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
Pseudomonas aeruginosa,Pseudomonas aeruginosa,287,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
Acipenserid herpesvirus 2,Acipenserid herpesvirus 2,320884,Ictalurivirus,Alloherpesviridae,Herpesvirales,Herviviricetes
Mycobacterium conceptionense,Mycolicibacterium conceptionense,451644,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Mycobacterium marinum,Mycobacterium marinum,1781,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Lactococcus lactis,Lactococcus lactis,1358,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli
Opisthadena dimidia,Opisthadena dimidia,232904,Opisthadena,Bunocotylidae,Azygiida,Trematoda
Cadenatella isuzumi,Cadenatella isuzumi,681666,Cadenatella,Lepocreadiidae,Plagiorchiida,Trematoda
Cadenatella pacifica,Cadenatella pacifica,681667,Cadenatella,Lepocreadiidae,Plagiorchiida,Trematoda
Enenterum aureum,Enenterum aureum,232676,Enenterum,Enenteridae,Plagiorchiida,Trematoda
Gorgocephalus kyphosi,Gorgocephalus kyphosi,232681,Gorgocephalus,Gorgocephalidae,Plagiorchiida,Trematoda
Koseiria xishaense,Koseiria xishaense,232678,Koseiria,Enenteridae,Plagiorchiida,Trematoda
Machidatrema chilostoma,Machidatrema chilostoma,232623,Machidatrema,Lecithasteridae,Azygiida,Trematoda
Nocardia seriolae,Nocardia seriolae,37332,Nocardia,Nocardiaceae,Corynebacteriales,Actinomycetia
Photobacterium leiognathi,Photobacterium leiognathi,553611,Photobacterium,Vibrionaceae,Vibrionales,Gammaproteobacteria
Wallinia chavarriae,Wallinia chavarriae,418528,Wallinia,Allocreadiidae,Plagiorchiida,Trematoda
Calyptospora serrasalmi,Calyptospora serrasalmi,700705,Calyptospora,Calyptosporidae,Eucoccidiorida,Conoidasida
Crassicutis choudhuryi,Crassicutis choudhuryi,478079,Crassicutis,Apocreadiidae,Plagiorchiida,Trematoda
Oligogonotylus manteri,Oligogonotylus manteri,549724,Oligogonotylus,Cryptogonimidae,Opisthorchiida,Trematoda
Neoechinorhynchus golvani,Neoechinorhynchus golvani,644359,Neoechinorhynchus,Neoechinorhynchidae,Neoechinorhynchida,Eoacanthocephala
Crassicutis cichlasomae,Crassicutis cichlasomae,478080,Crassicutis,Apocreadiidae,Plagiorchiida,Trematoda
Southwellina hispida,Southwellina hispida,449650,Southwellina,Polymorphidae,Polymorphida,Palaeacanthocephala
Oligogonotylus mayae,Oligogonotylus mayae,549723,Oligogonotylus,Cryptogonimidae,Opisthorchiida,Trematoda
Calyptospora spinosa,Calyptospora spinosa,700707,Calyptospora,Calyptosporidae,Eucoccidiorida,Conoidasida
